Mitchell Stern Law,us,,-,"Sep 17, 2021 @ 18:53:27.000",LockBit
skinnertrans.net,-,,-,"May 19, 2022 @ 16:54:34.000",LockBit
-,-,,-,"Oct 30, 2022 @ 01:29:43.000",LockBit
"Daylesford, BHoldings, Bamford, The Wild Rabbit",gb,,-,"Jul 7, 2021 @ 12:50:31.000",Sodinokibi
Unidentified,uy,,-,"Sep 15, 2023 @ 00:00:00.000",Knight
Saint Mark Catholic Church,us,,-,"Sep 27, 2023 @ 00:00:00.000",BianLian
TELCAL srl,it,,-,"May 20, 2021 @ 22:58:03.000",Conti
"Real Time Consultants, Inc",us,,-,"Sep 23, 2021 @ 12:03:11.000",Conti
"Stone Pigman Walther Wittmann, LLC",-,,-,"Mar 5, 2021 @ 15:00:00.000",Darkside
PEKAES Group,-,,-,"Mar 14, 2021 @ 15:00:00.000",Darkside
-,-,,-,"Nov 11, 2022 @ 22:00:00.000",Endurance
Volvo Cars,se,,-,"Dec 31, 2022 @ 00:28:09.000",Endurance
Mango,bg,,-,"Sep 25, 2023 @ 00:00:00.000",RansomedVC
WebPag,br,,-,"Oct 8, 2023 @ 00:00:00.000",RansomedVC
Dustin J Will LCC / Dustin J Will Sole MBR,-,,-,"Sep 18, 2023 @ 00:00:00.000",Knight
-,us,,-,"Feb 3, 2024 @ 22:00:00.000",-
MSPs,-,,-,"Jul 5, 2021 @ 07:42:20.000",Sodinokibi
Pellisard,-,,-,"Nov 1, 2021 @ 12:15:26.000",Midas
Rompetrol,-,,-,"Mar 6, 2022 @ 22:00:00.000",Hive
EL Pruitt Co,us,,-,"Nov 20, 2021 @ 22:00:00.000",AvosLocker
-,-,,-,"Oct 30, 2022 @ 22:52:18.000",LockBit
-,-,,-,"Aug 5, 2022 @ 09:07:48.000",LockBit
Mario Coelho,pt,,-,"Aug 30, 2023 @ 00:00:00.000",LockBit
Clear Creek Community Church,us,,-,"Sep 13, 2023 @ 00:00:00.000",LockBit
-,-,,-,"Dec 26, 2022 @ 22:00:00.000",Radar
Zakher Palace office,ae,,-,"Jul 23, 2021 @ 21:00:00.000",SynACKLeaks
SMPDYNAMICS,-,,-,"Jun 4, 2021 @ 21:00:00.000",LV
-,us,,-,"Mar 4, 2021 @ 13:55:30.000",Conti
-,-,,-,"Feb 28, 2022 @ 22:00:00.000",-
Bangsaen Mahanakorn,th,,-,"Oct 6, 2023 @ 00:00:00.000",LockBit
Unidentified company,-,,-,"Oct 11, 2023 @ 00:00:00.000",Black Basta
KaDeWe,de,,-,"Nov 14, 2023 @ 00:00:00.000",Play
-,-,,-,"Aug 5, 2022 @ 01:45:49.000",LockBit
Institut Technologique FCBA,fr,,-,"Oct 11, 2023 @ 00:00:00.000",Alphv
Not Identified,fr,,-,"Sep 6, 2023 @ 00:00:00.000",RansomedVC
Nucleus,us,,-,"Sep 6, 2023 @ 00:00:00.000",RansomedVC
Stormtech,-,,-,"Dec 7, 2023 @ 00:00:00.000",Metaencryptor
(empty),-,,-,"Aug 5, 2022 @ 08:19:24.000",LockBit
Our Redeemer Lutheran Church & Preschool,us,,-,"Sep 27, 2023 @ 00:00:00.000",BianLian
Dubai Civil Aviation Authority,ae,public,Aerospace & Defense,"Oct 2, 2021 @ 12:37:57.000",LockBit
UK's Ministry of Defence,gb,public,Aerospace & Defense,"Mar 14, 2022 @ 00:00:00.000",LeakTheAnalyst
Hensoldt,de,public,Aerospace & Defense,"Dec 17, 2021 @ 00:00:00.000",Lorenz
Gunnebo Group,se,public,Aerospace & Defense,"Sep 30, 2020 @ 00:00:00.000",MountLocker
Aircraft Technical Publishers (ATP),us,public,Aerospace & Defense,"Oct 9, 2020 @ 00:00:00.000",NetWalker
"Spectrum Associates, Inc.",us,public,Aerospace & Defense,"Sep 8, 2020 @ 00:00:00.000",Maze
Omnetics Connector,us,public,Aerospace & Defense,"Sep 16, 2020 @ 00:00:00.000",Conti
Elbit Systems of America,us,public,Aerospace & Defense,"Jun 26, 2022 @ 00:00:00.000",Black Basta
EME,us,public,Aerospace & Defense,"Sep 7, 2022 @ 00:00:00.000",Black Basta
Thales,fr,public,Aerospace & Defense,"Oct 31, 2022 @ 00:00:00.000",LockBit
The Inland Group of Companies,ca,public,Aerospace & Defense,"Feb 12, 2023 @ 00:00:00.000",BlackByte
Altitude Aerospace,ca,public,Aerospace & Defense,"Nov 15, 2022 @ 00:00:00.000",MedusaLocker
the affected company is not clear,us,public,Aerospace & Defense,"Jul 26, 2023 @ 00:00:00.000",Clop
a,gb,public,Aerospace & Defense,"Aug 24, 2023 @ 00:00:00.000",Cloak
Furniture Row and Visser Precision,us,public,Aerospace & Defense,"Feb 26, 2020 @ 21:08:02.000",DoppelPaymer
Mack Defense,us,public,Aerospace & Defense,"Feb 19, 2022 @ 00:00:00.000",Conti
UVision Air Ltd,il,public,Aerospace & Defense,"Oct 14, 2021 @ 12:54:16.000",LockBit
Coulson Group,us,public,Aerospace & Defense,"Aug 22, 2021 @ 08:23:30.000",Clop
Rafael Advanced Defense Systems,il,public,Aerospace & Defense,"Feb 3, 2022 @ 00:00:00.000",Moses Staff
Innotech-Execaire Aviation Group,ca,public,Aerospace & Defense,"Jul 2, 2020 @ 00:00:00.000",Maze
Davenport Aviation,us,public,Aerospace & Defense,"Nov 7, 2020 @ 00:00:00.000",Egregor
Delta Fire Protection,us,public,Aerospace & Defense,"Nov 14, 2020 @ 00:00:00.000",Egregor
SASEGUR,es,public,Aerospace & Defense,"Aug 20, 2020 @ 00:00:00.000",DoppelPaymer
Embraer S.A.,br,public,Aerospace & Defense,"Nov 30, 2020 @ 00:00:00.000",RansomExx
TED com GmbH,de,public,Aerospace & Defense,"Dec 8, 2020 @ 00:00:00.000",DarkSide
Rossell Techsys,in,public,Aerospace & Defense,"Dec 6, 2021 @ 00:00:00.000",Rook
Sabena Engineering,be,public,Aerospace & Defense,"Mar 13, 2023 @ 00:00:00.000",LockBit
Otto Instrument and Avionics,us,public,Aerospace & Defense,"Jun 30, 2021 @ 09:58:46.000",Marketo
ADPma,us,public,Aerospace & Defense,"Jan 15, 2021 @ 00:00:00.000",DoppelPaymer
Protactics,co,public,Aerospace & Defense,"Jul 8, 2023 @ 00:00:00.000",NoEscape
Avianor,ca,public,Aerospace & Defense,"Nov 9, 2023 @ 00:00:00.000",NoEscape
Martinaire Aviation,us,public,Aerospace & Defense,"Jan 21, 2024 @ 00:00:00.000",BianLian
Dynamic NC,us,public,Aerospace & Defense,"Jun 28, 2021 @ 21:00:00.000",Conti
Bombardier,ca,public,Aerospace & Defense,"Feb 23, 2021 @ 00:00:00.000",Clop
UAV Engines,gb,public,Aerospace & Defense,"Mar 28, 2022 @ 00:00:00.000",LeakTheAnalyst
Avion Technologies,ca,public,Aerospace & Defense,"Mar 22, 2022 @ 00:00:00.000",Industrial Spy
Top Aces,ca,public,Aerospace & Defense,"May 10, 2022 @ 00:00:00.000",LockBit
"Chc Group, LLC",us,public,Aerospace & Defense,"Sep 18, 2020 @ 00:00:00.000",Maze
Military Equipment Denmark AS,dk,public,Aerospace & Defense,"Sep 24, 2020 @ 00:00:00.000",Maze
Senior Aerospace AMT,us,public,Aerospace & Defense,"Nov 5, 2020 @ 00:00:00.000",DoppelPaymer
Hemeria,fr,public,Aerospace & Defense,"May 24, 2022 @ 00:00:00.000",Snatch
Diethelm Keller Aviation,sg,public,Aerospace & Defense,"Feb 9, 2023 @ 00:00:00.000",Medusa
MRO Support,us,public,Aerospace & Defense,"Feb 5, 2023 @ 00:00:00.000",8BASE
Jordan Airmotive,jo,public,Aerospace & Defense,"Jul 11, 2023 @ 00:00:00.000",NoEscape
Boeing,us,public,Aerospace & Defense,"Oct 27, 2023 @ 00:00:00.000",LockBit
Guardian Alarm,fr,public,Aerospace & Defense,"Nov 15, 2023 @ 00:00:00.000",INC
E.M.I.T. Aviation Consult. Ltd.,il,public,Aerospace & Defense,"Oct 1, 2021 @ 15:46:47.000",LockBit
Heli-Union,fr,public,Aerospace & Defense,"May 11, 2021 @ 00:00:00.000",Darkside
Trans Maldivian Airways Pvt. Ltd.,mv,public,Aerospace & Defense,"Jan 13, 2023 @ 00:00:00.000",RansomHouse
I-Sec International Security,nl,public,Aerospace & Defense,"Mar 17, 2022 @ 00:00:00.000",Conti
